athlete_id,age,sex,weight_kg,vo2_max,resting_hr,baseline_hrv,session_type,duration_min,avg_hr,max_hr,distance_km,elevation_gain_m,sleep_hrs_prior,hrv_today,temp_c,percent_hr_max,pace_min_per_km,hr_efficiency,vo2_hr_ratio,depletion_factor,sleep_debt,calories_burned
A001,26,F,88.3,57.8,51,78,intervals,116,140,155,21.6,99,4.6,88.6,21,0.903,5.37,6.48,0.413,16952.2,3.4,1475.8
A002,40,M,65.6,52.2,56,84,intervals,78,156,171,10.9,187,6.6,88.5,28,0.912,7.16,14.31,0.335,12025.0,1.4,1259.2
A003,44,M,85.1,56.4,53,98,tempo,47,133,146,9.2,241,5.9,72.9,29,0.911,5.11,14.46,0.424,6089.1,2.1,624.6
A004,31,M,84.2,42.7,61,95,tempo,79,169,177,10.4,53,7.1,67.8,27,0.955,7.6,16.25,0.253,13718.3,0.9,1468.8
A005,23,F,80.5,46.8,58,82,tempo,91,169,178,12.6,52,8.8,79.8,22,0.949,7.22,13.41,0.277,14826.8,-0.8,1617.0
A006,20,M,89.5,58.9,56,67,intervals,117,140,147,20.0,162,8.0,49.1,16,0.952,5.85,7.0,0.421,16627.5,0.0,1603.4
A007,28,F,70.7,40.6,49,94,long_run,73,169,179,13.8,226,8.9,101.7,14,0.944,5.29,12.25,0.24,12412.6,-0.9,1276.4
A008,26,M,73.3,49.5,54,72,tempo,80,161,172,11.8,95,5.1,70.0,24,0.936,6.78,13.64,0.307,13209.1,2.9,1233.2
A009,26,M,79.3,61.8,54,65,tempo,57,157,173,6.8,285,6.9,69.1,34,0.908,8.38,23.09,0.394,8786.1,1.1,850.5
A010,44,M,69.9,60.1,53,62,long_run,99,137,152,14.0,164,5.0,52.8,24,0.901,7.07,9.79,0.439,13113.1,3.0,1244.3
A011,43,M,69.1,39.8,64,71,long_run,68,131,138,8.8,112,5.7,80.9,31,0.949,7.73,14.89,0.304,8492.0,2.3,799.4
A012,20,M,78.8,52.3,50,91,tempo,97,140,152,12.0,254,6.2,89.6,15,0.921,8.08,11.67,0.374,13442.6,1.8,1265.9
A013,35,M,60.3,51.7,60,88,intervals,32,149,165,5.4,146,5.3,89.0,16,0.903,5.93,27.59,0.347,4976.2,2.7,427.2
A014,44,M,62.3,52.6,54,94,long_run,36,145,159,7.1,59,5.6,69.7,21,0.912,5.07,20.42,0.363,5250.4,2.4,515.0
A015,42,M,64.8,56.9,60,62,intervals,49,153,163,8.7,115,8.7,65.3,17,0.939,5.63,17.59,0.372,7576.8,-0.7,699.2
A016,44,M,89.1,45.7,58,77,long_run,95,164,181,11.6,160,6.7,60.1,33,0.906,8.19,14.14,0.279,15813.1,1.3,1761.4
A017,36,F,74.9,40.5,63,81,tempo,51,175,193,10.1,50,8.6,72.5,30,0.907,5.05,17.33,0.231,8927.4,-0.6,951.5
A018,20,M,63.1,51.5,48,94,long_run,93,178,183,18.5,157,5.8,103.2,18,0.973,5.03,9.62,0.289,17304.0,2.2,1612.2
A019,33,M,75.0,64.5,64,80,tempo,61,152,157,8.0,127,7.0,89.7,12,0.968,7.62,19.0,0.424,9337.0,1.0,872.6
A020,34,F,67.6,44.9,54,61,tempo,119,146,158,20.2,298,6.1,50.8,32,0.924,5.89,7.23,0.308,17234.6,1.9,1590.3
A021,43,M,57.9,38.1,48,79,tempo,94,137,155,16.9,142,4.9,75.9,31,0.884,5.56,8.11,0.278,12656.7,3.1,1117.5
A022,41,F,85.1,44.8,54,65,long_run,44,172,188,5.8,263,5.7,73.7,16,0.915,7.59,29.66,0.26,7254.2,2.3,789.6
A023,39,F,73.9,55.2,64,75,long_run,42,179,195,7.2,146,6.3,67.1,32,0.918,5.83,24.86,0.308,7330.7,1.7,781.5
A024,42,M,79.4,49.0,45,93,long_run,77,154,166,14.9,271,7.8,88.3,31,0.928,5.17,10.34,0.318,12130.8,0.2,1165.3
A025,35,M,81.5,38.4,58,87,tempo,98,176,181,12.9,203,7.9,92.5,13,0.972,7.6,13.64,0.218,16684.3,0.1,1842.9
A026,42,F,76.6,55.1,46,90,intervals,39,148,162,5.9,3,8.7,98.1,29,0.914,6.61,25.08,0.372,5815.6,-0.7,571.2
A027,20,M,83.4,60.2,56,62,long_run,94,162,174,17.9,43,4.8,46.2,11,0.931,5.25,9.05,0.372,14525.9,3.2,1539.5
A028,42,M,78.0,48.4,54,85,long_run,63,170,181,7.0,113,8.7,61.0,34,0.939,9.0,24.29,0.285,11035.0,-0.7,1121.4
A029,29,M,81.3,59.8,61,94,intervals,65,147,152,11.5,151,8.7,102.1,26,0.967,5.65,12.78,0.407,9726.8,-0.7,949.0
A030,22,M,68.2,52.4,64,84,long_run,115,142,157,12.6,99,8.6,62.3,16,0.904,9.13,11.27,0.369,17076.0,-0.6,1468.1
