athlete_id,age,sex,weight_kg,vo2_max,resting_hr,baseline_hrv,session_type,duration_min,avg_hr,max_hr,distance_km,elevation_gain_m,sleep_hrs_prior,hrv_today,temp_c,percent_hr_max,pace_min_per_km,hr_efficiency,vo2_hr_ratio,depletion_factor,sleep_debt,calories_burned
R000001,28,F,88.3,58.3,57,80,race,242,162,176,42.2,149,4.5,68.8,11,0.92,5.55,5.31,0.36,39208.6,3.5,4470.2
R000002,22,F,76.4,40.2,53,86,race,198,154,166,42.2,180,7.0,75.0,18,0.928,4.72,4.58,0.261,30789.5,1.0,3196.2
R000003,35,F,68.5,40.4,46,79,race,231,161,178,42.2,224,4.6,59.8,27,0.904,5.79,2.28,0.251,40092.3,3.4,3910.4
R000004,43,M,88.9,59.4,46,69,race,153,163,180,42.2,239,5.1,52.1,27,0.906,3.78,10.17,0.364,26957.9,2.9,2868.1
R000005,34,M,65.4,44.1,53,66,race,148,163,175,42.2,130,6.5,60.5,14,0.931,3.35,5.29,0.271,27434.9,1.5,2594.4
R000006,33,F,58.3,49.3,58,83,race,176,148,165,42.2,150,7.4,78.0,14,0.897,4.26,1.14,0.333,28241.0,0.6,2560.9
R000007,28,M,73.3,50.7,54,72,race,202,158,171,42.2,200,6.1,58.7,13,0.924,4.58,5.02,0.321,35242.2,1.9,3404.2
R000008,31,M,65.3,42.6,56,87,race,247,157,170,42.2,141,5.2,83.8,10,0.924,5.87,6.66,0.271,40104.9,2.8,3889.6
R000009,41,M,85.1,40.2,52,86,race,276,145,162,42.2,108,5.1,69.4,18,0.895,6.72,3.11,0.277,41544.3,2.9,4161.8
R000010,28,F,79.9,43.7,52,76,race,252,145,156,42.2,178,4.8,50.0,21,0.929,5.88,4.27,0.301,38994.3,3.2,3681.1
R000011,44,F,57.8,49.2,45,97,race,163,153,163,42.2,173,5.8,85.2,12,0.939,4.14,8.04,0.322,25001.1,2.2,2530.7
R000012,40,F,77.6,44.4,45,99,race,267,153,164,42.2,234,4.4,96.0,19,0.933,6.42,6.48,0.29,42431.6,3.6,4416.6
R000013,37,M,73.1,46.5,45,71,race,176,163,175,42.2,197,7.1,64.7,29,0.931,3.91,5.32,0.285,28727.6,0.9,2963.2
R000014,24,M,55.2,44.0,46,61,race,193,149,167,42.2,177,6.6,54.2,10,0.892,4.31,4.48,0.295,31097.3,1.4,2652.6
R000015,43,M,63.8,54.7,50,67,race,166,149,159,42.2,246,4.8,53.6,13,0.937,3.66,4.61,0.367,25391.1,3.2,2615.8
R000016,35,M,85.9,58.7,49,83,race,232,160,174,42.2,165,5.0,62.6,10,0.92,5.56,4.89,0.367,38884.6,3.0,3946.3
R000017,31,M,84.5,63.3,58,83,race,253,162,172,42.2,153,6.4,73.1,25,0.942,6.01,1.24,0.391,43566.8,1.6,4351.2
R000018,34,F,72.9,52.5,57,79,race,204,153,165,42.2,115,5.5,68.6,28,0.927,4.6,1.62,0.343,33391.8,2.5,3227.1
R000019,43,F,85.1,46.3,54,65,race,154,161,178,42.2,102,5.0,64.1,16,0.904,3.73,9.59,0.288,27164.7,3.0,2845.2
R000020,34,F,73.1,48.1,45,78,race,231,172,191,42.2,178,4.6,51.7,11,0.901,5.57,6.81,0.28,41161.1,3.4,4168.9
R000021,29,M,64.8,63.9,51,64,race,161,167,179,42.2,135,4.1,41.4,14,0.933,3.7,4.4,0.383,30837.4,3.9,2701.5
R000022,37,F,81.7,60.2,48,92,race,240,165,184,42.2,83,4.9,55.8,28,0.897,6.0,7.56,0.365,42588.6,3.1,4527.7
R000023,26,M,60.7,41.8,51,61,race,267,159,169,42.2,210,6.8,56.6,21,0.941,6.58,5.65,0.263,48218.2,1.2,4068.3
R000024,34,F,58.5,40.5,47,94,race,220,151,170,42.2,164,5.0,60.8,27,0.888,4.99,7.14,0.268,36354.0,3.0,3354.9
R000025,25,M,83.1,47.1,54,96,race,291,146,157,42.2,145,5.2,93.3,14,0.93,6.92,5.99,0.323,47201.4,2.8,4171.1
R000026,38,M,72.7,60.7,50,72,race,158,157,170,42.2,177,5.7,57.4,25,0.924,3.69,3.49,0.387,26474.6,2.3,2568.2
R000027,41,M,62.4,63.7,53,98,race,248,162,181,42.2,182,6.6,80.2,20,0.895,5.88,6.07,0.393,40785.4,1.4,4051.6
R000028,34,F,57.5,60.5,54,61,race,144,153,168,42.2,120,7.5,55.0,15,0.911,3.64,3.67,0.395,24372.4,0.5,2154.4
R000029,33,F,79.7,46.2,47,98,race,265,145,164,42.2,197,4.4,63.4,18,0.884,5.98,6.12,0.319,39793.9,3.6,3878.8
R000030,38,M,85.4,45.6,50,91,race,200,162,176,42.2,196,7.4,73.6,18,0.92,4.71,5.41,0.281,33453.7,0.6,3530.8
R000031,22,M,79.4,49.6,51,70,race,151,160,177,42.2,171,4.7,55.0,27,0.904,3.42,3.19,0.31,25102.1,3.3,2492.5
R000032,38,M,65.8,60.3,56,88,race,280,153,165,42.2,243,4.3,83.7,22,0.927,6.78,7.58,0.394,43899.2,3.7,4332.1
